"Sector","Emissions","year",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid"
"Consumer Exp",157.2649,2006,150.849746633826,6.41515336617428,0.0391351943076084,7.10063982784695,0.0174001687746075,0.92435570127769
"Consumer Exp",153.8224,2007,150.468711001642,3.35368899835817,0.0424192665571978,7.18766179706491,0.0051898449227045,0.484059012458698
"Consumer Exp",153.5342,2008,150.087675369458,3.44652463054203,0.0467980295566503,7.18566851674283,0.00610262845720993,0.498599851472547
"Consumer Exp",149.3327,2009,149.706639737274,-0.373939737274185,0.0522714833059659,7.21986142070345,8.11702001085826e-05,-0.0542528888391476
"Consumer Exp",157.7217,2010,149.32560410509,8.39609589490973,0.0588396278051446,7.00972440972709,0.0467082809657402,1.22238721167509
"Consumer Exp",139.3751,2011,148.944568472906,-9.56946847290646,0.0665024630541863,6.94322402497506,0.0697081347541328,-1.3989250654174
"Consumer Exp",146.3292,2012,148.563532840723,-2.23433284072257,0.0752599890530911,7.20530076957132,0.0043824507427622,-0.328171807107677
"Consumer Exp",148.3472,2013,148.182497208539,0.164702791461366,0.085112205801859,7.22018799185647,2.75140518208454e-05,0.024320935001315
"Consumer Exp",136.1438,2014,147.801461576355,-11.6576615763547,0.09605911330049,6.79106660168332,0.159359460751261,-1.73182758210487
"Consumer Exp",139.9155,2015,147.420425944171,-7.50492594417091,0.108100711548984,7.04317254041126,0.0763459831858869,-1.12241051449647
"Consumer Exp",141.8012,2016,147.039390311987,-5.23819031198707,0.121237000547341,7.13325551249904,0.0429685458485587,-0.789239141904337
"Consumer Exp",141.3033,2017,146.658354679803,-5.3550546798032,0.135467980295561,7.12779747177438,0.0518440310324896,-0.813460730289918
"Water & Waste",75.3163,1990,88.9375343915353,-13.6212343915353,0.140211640211628,5.29166268476237,0.495463096291105,-2.4650424336707
"Water & Waste",76.8527,1991,86.5140964183965,-9.66139641839655,0.124949124949127,5.70513153179252,0.214448912725901,-1.73311333717194
"Water & Waste",76.9591,1992,84.0906584452587,-7.13155844525866,0.110907610907612,5.8829989216597,0.100464791863524,-1.26915514143617
"Water & Waste",77.2756,1993,81.6672204721208,-4.39162047212078,0.0980870980870994,6.00850732375912,0.032742340545465,-0.775972294115218
"Water & Waste",77.6379,1994,79.2437824989829,-1.60588249898292,0.0864875864875876,6.07252225798653,0.00376296201238889,-0.281942309272981
"Water & Waste",78.712,1995,76.820344525845,1.89165547415497,0.076109076109077,6.06891845937285,0.00449217393968297,0.330244356833102
"Water & Waste",79.2094,1996,74.3969065527072,4.81249344729285,0.0669515669515677,5.99657433318294,0.0250766838571509,0.836029825550466
"Water & Waste",77.9827,1997,71.9734685795693,6.00923142043074,0.0590150590150596,5.94929985889394,0.0338854135529819,1.03951630751
"Water & Waste",78.6911,1998,69.5500306064314,9.14106939356861,0.0522995522995527,5.77229456375902,0.0685057844451043,1.57566967582732
"Water & Waste",73.7429,1999,67.1265926332926,6.6163073667074,0.0468050468050471,5.92280411105729,0.0317495806050309,1.13717818401884
"Water & Waste",71.0605,2000,64.7031546601547,6.3573453398453,0.0425315425315427,5.93585330565333,0.0263992277170376,1.09022786963936
"Water & Waste",69.1106,2001,62.2797166870168,6.83088331298316,0.0394790394790396,5.91346218528917,0.0281115019923809,1.16957252479839
"Water & Waste",67.4509,2002,59.856278713879,7.59462128612103,0.0376475376475377,5.87331886239651,0.0330109428910022,1.29910051597686
"Water & Waste",63.3752,2003,57.4328407407411,5.94235925925891,0.037037037037037,5.9552703505122,0.0198569393670085,1.01615001209686
"Water & Waste",58.7125,2004,55.0094027676032,3.70309723239679,0.0376475376475376,6.03319383617314,0.00784830578904835,0.633434551122513
"Water & Waste",56.1049,2005,52.5859647944653,3.51893520553467,0.0394790394790394,6.03787969371893,0.00746024100324524,0.60250625641888
